Provider(s),Primary Contact Person (Name; Email),"Description of Services, Intervention, or Activity",Recipients,Criteria for Who Receives the Service,Research or Best Practice Supported Practice?,Legally Mandated Practice?,Notes,Intercept,Gaps,,,,,,,,,,,,,
US Veterans Affairs,Ryan Morris ,DOJ Veterans services. Supports veterans involved in the criminal justice in navigating the system ,Veterans  ,Military/criminal charges,Yes,No,DVS has another sector that assists with families of veterans,"0,2,3,4,5",,,,,,,,,,,,,,
Virginia Action Alliance,"Ruth Micklem, rmicklem@vsdvalliance.org
","Provides training and technical assistance, Manages/Operates VAWA data compliances,  Collects qualitative data; Operates a 24/7 hotline",Victims/survivors,None,Yes,No,,"0,1,2,3,4,5",,,,,,,,,,,,,,
Virginia Dept. Corrections - State Probation - Dist 35,"Samson Presely, samson.presley@vadoc.virginia.gov
","Community Corrections Alternative Program: Residential Program (Substance Abuse, Cognitive Therapy); Decision Points; Thinking for Change; Anger Management; Parenting Courses; Outsource to community resources to provide stability and treatment; Accountability (GPS; Remote-Com); Transitional Housing","Primarily people on probation, but will offer services for victims and families",Risk Needs Assesment,Yes,Yes,"Responsiblities: Community Safety and Advocacy; Some peple have a DV probation officer, intensive probation, specialized sex offender probation, gang specialist, mental health, and substance absues specialists; Officers are trained in MI Handles Felony","2,3,4,5",,,,,,,,,,,,,,
Victim Witness,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
